"﻿""Authors""",Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
Christopher Newland M.,"Christopher Newland, M. (7003637733)",7003637733,Quantification of motor function in toxicology,1988,Toxicology Letters,43,1-3,,295,319,22,10.1016/0378-4274(88)90035-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023755484&doi=10.1016%2F0378-4274%2888%2990035-5&partnerID=40&md5=a59444e954a6bad30ac7ab3377c73050,"Department of Psychology, Auburn University, Auburn, AL, United States","Christopher Newland M., Department of Psychology, Auburn University, Auburn, AL, United States","Disturbances of movement and other motor functions can result from exposure to toxicants and drugs. Sometimes, as with acute exposure to ethanol or solvents, these effects disappear when exposure ends. Other times, as with manganese, haloperidol, or chronic ethanol, motor disturbances are irreversible and may even lie undetected until after exposure has ended. Motor disturbances can take on many guises, including tremor, difficulty in positioning, fatigue, or rigidity. Techniques for measuring these different endpoints in primates will be addressed. One preparation that enables the simultaneous monitoring of positioning, tremor, and operant behavior in nonhuman primates is described, and tactics for obtaining spectral estimates of tremor from a positioning task are outlined. The spectra obtained from this preparation are reliable and valid: they are stable over a period of a year, they correspond to spectra obtained from accelerometers, and are altered by acute administration of ethanol or oxotremorine. These two drugs had opposite effects on tremor but affected bar positioning in a similar manner. © 1988.",Ethanol; Humans; Motor function; Neurotoxicology; Oxotremorine; Primates; Spectral analysis; Tremor,"Animal; Haplorhini; Human; Motor Activity; Support, U.S. Gov't, P.H.S.; Toxicology; Tremor; alcohol; haloperidol; manganese; oxotremorine; animal experiment; human; instrumental conditioning; monkey; motor performance; neurotoxicity; nonhuman; priority journal; spectroscopy; tremor",,,,03784274,,TOLED,3140429,English,Toxicol. Lett.,Article,Final,,Scopus,2-s2.0-0023755484
Caraceni T.; Scigliano G.; Musicco M.,"Caraceni, Tommaso (7004356476); Scigliano, Giulio (6603369452); Musicco, Massimo (7005797271)",7004356476; 6603369452; 7005797271,The occurrence of motor fluctuations in parkinsonian patients treated long term with levodopa: Role of early treatment and disease progression,1991,Neurology,41,3,,380,384,90,10.1212/wnl.41.3.380,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025765530&doi=10.1212%2Fwnl.41.3.380&partnerID=40&md5=b6af9d7b6f5cd3b3a7d891f7a9302c5c,"Neurological Institute “C. Besta”, National Research Council-Institute of Advanced Biomedical Technologies, Milan, Italy; Department of Epidemiology, National Research Council-Institute of Advanced Biomedical Technologies, Milan, Italy","Caraceni T., Neurological Institute “C. Besta”, National Research Council-Institute of Advanced Biomedical Technologies, Milan, Italy; Scigliano G., Neurological Institute “C. Besta”, National Research Council-Institute of Advanced Biomedical Technologies, Milan, Italy; Musicco M., Department of Epidemiology, National Research Council-Institute of Advanced Biomedical Technologies, Milan, Italy","The aim of this study is to evaluate what factors influence the risk of occurrence of motor fluctuations in patients with Parkinson’s disease (PD) with particular reference to the role of early or delayed introduction of levodopa therapy during the course of the disease. One hundred twenty-five consecutive newly diagnosed patients with PD started levodopa treatment at the time of diagnosis and were followed for 2 to 10 years. During follow-up, 60 patients had wearing-off or early morning akinesia. We estimated the cumulative time-dependent risk of motor fluctuation occurrence through a multivariable analysis. The risk was lower for patients with tremor-predominant PD, for those with shorter disease duration prior to levodopa, and for those who were relatively older at levodopa initiation. Our results suggest that, as far as motor fluctuations are concerned, disease prognosis is not influenced by early levodopa treatment. These observations support the introduction of levodopa as soon as there is a subjective need for the patients to maintain their level of social and work performance. © 1991 American Academy of Neurology.",,Age Factors; Female; Forecasting; Human; Levodopa; Male; Movement; Multivariate Analysis; Parkinson Disease; Risk Factors; levodopa; adult; aged; akinesia; article; female; human; major clinical study; male; motor system; oral drug administration; parkinson disease; priority journal,,,,00283878,,,2006005,English,Neurology,Article,Final,,Scopus,2-s2.0-0025765530
Huber S.J.; Paulson G.W.; Shuttleworth E.C.,"Huber, Steven J. (7201432554); Paulson, George W. (7102432075); Shuttleworth, Edwin C. (7004382968)",7201432554; 7102432075; 7004382968,Depression in parkinson’s disease,1988,"Neuropsychiatry, Neuropsychology and Behavioral Neurology",1,1,,47,51,45,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024148742&partnerID=40&md5=2895cbdc164453c0455213f8f78ba90c,"The Ohio State University College of Medicine, Department of Neurology, Columbus, OH, United States","Huber S.J., The Ohio State University College of Medicine, Department of Neurology, Columbus, OH, United States; Paulson G.W., The Ohio State University College of Medicine, Department of Neurology, Columbus, OH, United States; Shuttleworth E.C., The Ohio State University College of Medicine, Department of Neurology, Columbus, OH, United States","While depression is quite common in Parkinson's disease (PD), its severity varies widely among patients. Some studies found that severity of depression increases with severity of PD, which suggests that depression may be a secondary reaction to disease; others found no such relationship and argue that depression is an endogenous feature of PD. We found this variability to be related to specific subgroups of patients with PD. Previous research has shown that patients with a predominance of tremor tend to have milder clinical disease and less intellectual impairment compared to those with a predominance of rigidity or bradyki-nesia. Our data suggest that these subtypes of PD may be further distinguished by the presence or absence of depression, since those with a predominance of tremor were also significantly less likely to be depressed. © 1988 Raven Press, Ltd., New York.",Depression; Parkinson’ disease,carbidopa; levodopa; adult; aged; depression; human; major clinical study; oral drug administration; parkinson disease; psychological aspect,,,,0894878X,,,,English,Neuropsychiatry Neuropsychol. Behav. Neurol.,Article,Final,,Scopus,2-s2.0-0024148742
Huber S.J.; Paulson G.W.; Shuttleworth E.C.,"Huber, Steven J (7201432554); Paulson, George W (7102432075); Shuttleworth, Edwin C (7004382968)",7201432554; 7102432075; 7004382968,"Relationship of motor symptoms, intellectual impairment, and depression in Parkinson's disease",1988,"Journal of Neurology, Neurosurgery and Psychiatry",51,6,,855,858,99,10.1136/jnnp.51.6.855,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023924314&doi=10.1136%2Fjnnp.51.6.855&partnerID=40&md5=72d2e5f63c87928a2ae324fa4fb0dc51,"Ohio State University College of Medicine, Department of Neurology, Columbus, OH 43210, 425 Means Hall, United States","Huber S.J., Ohio State University College of Medicine, Department of Neurology, Columbus, OH 43210, 425 Means Hall, United States; Paulson G.W., Ohio State University College of Medicine, Department of Neurology, Columbus, OH 43210, 425 Means Hall, United States; Shuttleworth E.C., Ohio State University College of Medicine, Department of Neurology, Columbus, OH 43210, 425 Means Hall, United States","The relationship between severity of disease, intellectual impairment, and depression was examined in 50 patients with Parkinson's disease. A significant correlation between severity of disease and intellectual impairment suggests that both may result from the same subcortical lesions. Depression was not significantly related either to severity of disease or to intellectual impairment. This suggests that the relationship between severity of disease and intellectual impairment was not an artifact of increasing depression. Severity of rigidity and of bradykinesia did predict severity of intellectual decline, but severity of tremor predicted better intellectual status. Patients with a predominance of tremor may have a more benign clinical course as well as better intellectual function than patients with a predominance of rigidity and bradykinesia.",,"Adult; Aged; Delirium, Dementia, Amnestic, Cognitive Disorders; Depressive Disorder; Female; Human; Male; Mental Status Schedule; Middle Age; Motor Skills; Parkinson Disease; Prognosis; Support, Non-U.S. Gov't; Wechsler Scales; carbidopa; levodopa; adult; aged; brain injury; clinical article; depression; female; human; intellect; male; motor dysfunction; parkinson disease; priority journal; psychologic test; psychological aspect",,,BMJ Publishing Group,00223050,,JNNPA,3404193,English,J. Neurol. Neurosurg. Psychiatry,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-0023924314
Balzer K.; Staunton H.,"Balzer, K. (57196852321); Staunton, H. (7004282003)",57196852321; 7004282003,The results of a double blind crossover trial on the value of piribedil in the treatment of parkinsonism,1979,Psychologie Medicale,11,B,,231,234,0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018620296&partnerID=40&md5=63c5ece8605a0f80b158003189aeffcc,Ireland,"Balzer K., Ireland; Staunton H., Ireland","The aim of this study is to establish the therapeutic effectiveness of piribedil in Parkinsonism, used as the sole therapeutic agent and also when used as an adjunct in patients already being treated with L-Dopa. A double blind crossover trial was carried out on two groups: newly diagnosed patients with idiopathic Parkinsonism; and patients with idiopathic Parkinsonism and with tremor predominant who were already being treated with L-Dopa. The Columbia grading scale was used. In the first group, there was a trend towards improvement in tremor, rigidity, facial expression, rising from a chair, balance, finger dexterity, sweating, gait, posture, daily living and writing. Two of these parameters showed significant changes (balance - p>0.02; rising from chair - p>0.005). In the second group, there was a trend towards improvement, particularly in posture and balance. Piribedil has a clinical effect in Parkinsonism.",,levodopa; piribedil; adverse drug reaction; central nervous system; confusion; controlled study; drug therapy; major clinical study; oral drug administration; parkinsonism; therapy,,,,00485756,,PSYMC,,English,PSYCHOL. MED.,Article,Final,,Scopus,2-s2.0-0018620296
Mori S.; Sakurada T.; Hachimine T.; Yamamoto H.,"Mori, Shigeo (7403976212); Sakurada, Tomiyo (57192015595); Hachimine, Takeshi (57192017158); Yamamoto, Hiroji (57192022112)",7403976212; 57192015595; 57192017158; 57192022112,A Model Calculation for the Process of Generation of Tremors —'Trains Passing on Elevated Railroad’ Model—,1991,Papers in Meteorology and Geophysics,41,4,,139,167,0,10.2467/mripapers.41.139,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996034847&doi=10.2467%2Fmripapers.41.139&partnerID=40&md5=7140cfd5db81d9e14ab02ad7ea8169f4,"Meteorological Research Institute, Tsukuba, Ibaraki, 305, Japan; Kumagaya Local Meteorological Observatory, Kumagaya, Saitama, 360, Japan; Seismological and Volcanological Department, Japan Meteorological Agency, Tokyo, 100, Japan","Mori S., Meteorological Research Institute, Tsukuba, Ibaraki, 305, Japan; Sakurada T., Kumagaya Local Meteorological Observatory, Kumagaya, Saitama, 360, Japan; Hachimine T., Seismological and Volcanological Department, Japan Meteorological Agency, Tokyo, 100, Japan; Yamamoto H., Seismological and Volcanological Department, Japan Meteorological Agency, Tokyo, 100, Japan","When the Joetsu-Shinkansen (New Joetsu Line) started its business from Omiya to Niigata in central Japan, 2 Hz-tremors (henceforth the Tremor) with slightly larger amplitudes than usual microseisms’ began to be regularly recorded on the seismometer at the Kumagaya Local Meteorological Observatory (KLMO) located about. 1 km away from the railroad site. In order to understand the Tremor's source and generation mechanism, we made temporary microseisms observations and train-speed measurements with the routinely-used seismometer and portable seismometers. The results are as follws: the Tremor's emergence corresponds with the time when Shinkansen trains bound for Omiya (Up-trains) pass through the Kumagaya area; from the Tremor's particle motion and the examination of its source position mentioned below, the Tremor is a Rayleigh-wave coming from WNW or NW at a speed of 60-110 m/s or 78-110. m/s. Referring, to the results of other observations of Shinkansen noise-microseisms (Hosoyama & Nakai, 1972), and the noise level at KLMO, we understand that the distance from KLMO to the position which generates tremors with large enough amplitudes to he detected at KLMO, is equal to or shorter than 3 km from KLMO; so we searched for the Tremor's source in the area which is within 3 km from KLMO. We found 4 piers whose features are different from those of other piers. They are located 2.4 km to the west of KLMO. They have supports which reach deeper in the ground than other piers. The total length of their girders on them is 217 m. If we assume these four piers as the source of the Tremor, we can explain the arrival times amd maximum velocity amplitudes of the Tremor consistently; further, if we assume that the Tremor's predominant frequency and trains’ speed are in proportion, we can interpret the relations among the Tremor's duration time, its predominant frequency, and its maximum velocity amplitude consistently. The Tremor's generation mechanism is as follows: the Shinkansen trains pass over the railroads on the piers A 1-A 4, which push the earth; then Rayleigh-waves, which are to be observed at KLMO as the Tremors, are generated and propagate with 60-110 m/s or 78 -110 m/s group velocity. The source model is as follows: each of the A 1-A 4 piers receives forces from the two girders independently put on it; each pier vertically pushes the elastic body (the earth) that is assumed to be semi-infinite, isotropic, and homogeneous. The present elastic-wave-generation problem is dealt with as a two-dimensional problem for simplicity. After this model, synthetic waveforms are calculated. Though only 2.0-2.5 Hz waves are observed, the calculated spectra show peaks at around 1 Hz, 2-3 Hz and 6-7 Hz; the existence of selective propagation is thought of as a cause of this phenomenon. The Kumagaya area is covered with a low velocity surface layer whose thickness is larger than 16 m and whose P-velocity is 345 m/s. These values are obtained at the New Kumagaya Transformer Sub-station (NKTS) located 3 km to the west of KLMO. The quarter-law (Tazime, 1956) suggests that the Rayleigh-wave with 2.0-2.5 Hz can keep its energy density even after long distance propagation on a medium which has a 40 m-thick surface layer of 345 m/s P-velocity. It is shown by the similarities between filtered synthetic waveforms and observed ones that 110 m/s is the most likely as the Tremor's propagation velocity. Even with.the 345 m / s as the surface layer P-velocity, the propagation velocity can be 110 m/s, if the generated Rayleigh-wave is dispersive. This is because the ratio between the rigidity of the surface layer and that of the half-infinite layer below it can be calculated as 4.8-14 from the data obtained at NKTS. The above discussions reveal that the present model is acceptable, though the following points should be clarified by another observation: the hypothetical velocity structure & surface layer thickness, and the hypothesis that Tremor's predominant frequency and trains’ speeds are in proportion. © 1991, Japan Meteorological Agency / Meteorological Research Institute. All rights reserved.",,,,,,0031126X,,,,English,Pap. Meteorol. Geophys.,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-84996034847
Prochazka A.; Trend P.S.,"Prochazka, A. (7005747801); Trend, P.S. (6603468263)",7005747801; 6603468263,Instability in human forearm movements studied with feed‐back‐controlled muscle vibration.,1988,The Journal of Physiology,402,1,,421,442,42,10.1113/jphysiol.1988.sp017213,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023689383&doi=10.1113%2Fjphysiol.1988.sp017213&partnerID=40&md5=66bef660ec42bc27a53fcfbfd0ae3764,"Department of Physiology, St Thomas's Hospital Medical School, London, United Kingdom","Prochazka A., Department of Physiology, St Thomas's Hospital Medical School, London, United Kingdom; Trend P.S., Department of Physiology, St Thomas's Hospital Medical School, London, United Kingdom","1. Frequency‐modulated vibration was applied to the elbow flexor and extensor tendons to produce reflex movements of the forearm in normal subjects. The modulating (command) signal caused equal and opposite deviations from the 40 Hz carrier frequency so that when flexor vibratory frequency increased, extensor frequency decreased, and vice versa. 2. It is argued that the movements resulted largely from the reflex action of muscle spindle primary afferents whose firing frequency had been ‘taken over’ and modulated by the vibration. 3. Bode plots relating forearm movements to command signal (modulating) frequency showed the transfer function of the Ia afferent‐CNS‐muscle‐load system to have a low‐pass filter characteristic. The phase lag of movement on command increased progressively with command signal frequency, exceeding 180 deg at 3‐4 Hz. 4. The transduced forearm movements were fed back to provide the command signal to the vibrators (and thus indirectly to the spindle afferents) via a filter mimicking the dynamic responsiveness of muscle spindle primary endings. Our aim was to ‘break into’ the reflex arc, and re‐route it so that we could artificially vary the gain without significantly altering the dynamics of the pathway. 5. Nearly all subjects developed forearm oscillations (tremor) when the gain exceeded a threshold value. Subjects varied widely in their threshold, though for a given subject the threshold remained fairly constant from day to day. The results suggest that reflexly active individuals may not have a large safety margin with respect to forearm instability. 6. The frequency range of the oscillations observed in seven subjects was 3‐8 Hz. The frequencies depended upon the level of flexor‐extensor co‐contraction, and increased from 3 to 5 Hz at 10% co‐contraction to 5‐8 Hz at 100% co‐contraction. An analysis of the mechanical impedance of the arm provided estimates of tremor frequencies consistent with these results. 7. These unexpectedly low tremor frequencies led us to propose that it may be erroneous to expect stretch reflexes to contribute to forearm tremor in the range 8‐12 Hz (e.g. physiological and ‘enhanced’ physiological tremors). Rather, their contributions should be sought in the range 3‐8 Hz (e.g. pathological tremors such as those of Parkinson's and cerebellar disease). © 1988 The Physiological Society",,"Action Potentials; Adult; Elbow Joint; Feedback; Forearm; Human; Movement; Muscle Contraction; Muscle Spindles; Muscles; Reflex, Stretch; Support, Non-U.S. Gov't; Vibration; arm movement; controlled study; electromyography; feedback system; forearm; human experiment; muscle spindle; muscle vibration; normal human; tremor",,,,00223751,,,2976825,English,J. Physiol.,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-0023689383
Ebmeier K.P.; Glabus M.; Potter D.D.; Salzen E.A.,"Ebmeier, K.P. (7004932147); Glabus, M. (6701810351); Potter, D.D. (7202714912); Salzen, E.A. (6603915371)",7004932147; 6701810351; 7202714912; 6603915371,"The effect of different high-pass filter settings on peak latencies in the event-related potentials of schizophrenics, patients with Parkinson's disease and controls",1992,Electroencephalography and Clinical Neurophysiology/ Evoked Potentials,84,3,,280,287,18,10.1016/0168-5597(92)90009-Z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026715993&doi=10.1016%2F0168-5597%2892%2990009-Z&partnerID=40&md5=986112f3288015afca7499b458103c08,"MRC Brain Metabolism Unit, Royal Edinburgh Hospital, Edinburgh, EH10 5HF, United Kingdom; Department of Medical Physics and Medical Engineering, University of Edinburgh, Edinburgh, United Kingdom; Wellcome Brain Research Group, University of St. Andrews, St. Andrews, United Kingdom; Department of Psychology, University of Aberdeen, Aberdeen, United Kingdom","Ebmeier K.P., MRC Brain Metabolism Unit, Royal Edinburgh Hospital, Edinburgh, EH10 5HF, United Kingdom; Glabus M., Department of Medical Physics and Medical Engineering, University of Edinburgh, Edinburgh, United Kingdom; Potter D.D., Wellcome Brain Research Group, University of St. Andrews, St. Andrews, United Kingdom; Salzen E.A., Department of Psychology, University of Aberdeen, Aberdeen, United Kingdom","Eighteen schizophrenic patients, 16 patients with idiopathic Parkinson's disease, and the same numbers of age, sex and education matched controls were examined with oddball experiments for the generation of P3. Individual averages were high-pass filtered at different cut-off frequencies with single-pole digital filters with equivalent analogue Butterworth filter profiles. The purpose of this procedure was to simulate analogue high-pass filters used in clinical studies from different centres and to examine their potential effect on group differences. Increasing high-pass filters resulted in a phase lead for all peaks examined (N1, P2, N2, P3). The only group differences were found for P3, which showed a greater phase lead in controls than in the patient groups, usually resulting in a more pronounced group difference. Similar wave forms and filter properties could be modelled by synthetic wave forms consisting of sine waves of different frequencies. © 1992.",Bandpass filter; Event-related potentials; High-pass filter; Idiopathic Parkinson's disease; Schizophrenia,"Acoustic Stimulation; Analysis of Variance; Electroencephalography; Evoked Potentials; Human; Male; Parkinson Disease; Reaction Time; Schizophrenia; Support, Non-U.S. Gov't; adult; aged; apparatus; article; clinical article; controlled study; evoked response; human; male; parkinson disease; schizophrenia",,,,01685597,,ECNPE,1375887,English,Electroencephalogr. Clin. Neurophysiol. Evoked Potentials,Article,Final,,Scopus,2-s2.0-0026715993
Huber S.J.; Christy J.A.; Paulson G.W.,"Huber, Steven J. (7201432554); Christy, Jeffrey A. (7007034948); Paulson, George W. (7102432075)",7201432554; 7007034948; 7102432075,Cognitive heterogeneity associated with clinical subtypes of Parkinson's disease,1991,"Neuropsychiatry, Neuropsychology and Behavioral Neurology",4,2,,147,157,24,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026004591&partnerID=40&md5=fe1761413fa0cbdc1969273a1e975638,"Department of Neurology, The Ohio State University College of Medicine, Columbus, OH, United States","Huber S.J., Department of Neurology, The Ohio State University College of Medicine, Columbus, OH, United States; Christy J.A., Department of Neurology, The Ohio State University College of Medicine, Columbus, OH, United States; Paulson G.W., Department of Neurology, The Ohio State University College of Medicine, Columbus, OH, United States","Clinical subtypes of Parkinson's disease (PD) have been distinguished by predominance of motor symptoms (tremor vs. rigid/bradykinetic) and by age of onset (early vs. late). We examined possible neuropsychological differences between these subtypes. Results indicated that patients with rigid/bradykinetic-pre-dominant PD had greater cognitive and depressive disturbances compared with tremor-predominant patients. In contrast, we found virtually no effect for age of onset. Our results suggest that clinical subtypes of PD vary with respect to behavioral differences. © 1991 Raven Press, Ltd., New York.",Clinical subtypes; Parkinson's disease,adult; aged; article; clinical article; cognition; controlled study; etiology; female; human; male; memory; parkinson disease,,,,0894878X,,,,English,Neuropsychiatry Neuropsychol. Behav. Neurol.,Article,Final,,Scopus,2-s2.0-0026004591
